idx,temp
473,-0.1
474,0.0
475,0.1
476,0.2
477,0.3
478,0.4
479,0.5
480,0.6
481,0.6
482,0.7
483,0.7
484,0.7
485,0.7
486,0.8
487,0.8
488,1.0
489,1.1
490,1.3
491,1.3
492,1.4
493,1.2
494,1.0
495,0.9
496,0.8
497,0.8
498,0.7
499,0.7
500,0.6
501,0.5
502,0.3
503,0.3
504,0.3
505,0.3
506,0.2
507,0.2
508,0.1
509,0.0
510,-0.1
511,-0.2
512,-0.1
513,0.0
514,0.1
515,0.2
516,0.2
517,0.2
518,0.1
519,0.1
520,0.1
521,0.1
522,0.1
523,0.1
524,-0.1
525,-0.5
526,-0.8
527,-1.1
528,-1.4
529,-1.5
530,-1.8
531,-2.0
532,-2.1
533,-2.2
534,-2.6
535,-2.3
536,-1.0
537,0.0
538,1.4
539,2.7
540,3.1
541,2.5
542,1.6
543,-0.2
544,-1.2
545,-2.0
546,-2.6
547,-3.6
548,-3.9
549,-4.8
550,-4.4
551,-4.6
552,-4.3
553,-3.5
554,-3.3
555,-3.4
556,-3.4
557,-3.4
558,-3.6
559,-3.6
560,-3.5
561,-3.3
562,-3.0
563,-2.8
564,-2.4
565,-2.2
566,-2.1
567,-2.0
568,-1.8
569,-1.6
570,-1.4
571,-1.2
572,-0.9
573,-0.7
574,-0.5
575,-0.3
576,-0.3
577,-0.2
578,-0.2
579,-0.2
580,-0.2
581,-0.2
582,-0.1
583,0.1
584,0.5
585,1.0
586,1.4
587,1.6
588,1.5
589,1.4
590,1.0
591,0.6
592,0.4
593,0.4
594,0.3
595,0.2
596,-0.8
597,-0.8
598,-2.0
599,-3.2
600,-4.1
601,-4.8
602,-5.5
603,-6.2
604,-6.7
605,-7.0
606,-7.3
607,-6.5
608,-5.0
609,-3.4
610,-1.6
611,-0.2
612,0.9
613,0.7
614,0.1
615,-1.6
616,-3.3
617,-4.1
618,-4.6
619,-5.7
620,-5.6
621,-6.1
622,-6.9
623,-7.3
624,-6.8
625,-7.8
626,-8.4
627,-8.8
628,-8.9
629,-8.7
630,-8.9
631,-7.0
632,-4.7
633,-1.1
634,0.7
635,1.2
636,2.0
637,1.0
638,0.3
639,-1.0
640,-1.8
641,-3.0
642,-4.9
643,-5.4
644,-5.7
645,-4.8
646,-5.1
647,-5.3
648,-5.7
649,-6.0
650,-6.2
651,-6.3
652,-6.5
653,-6.7
654,-6.9
655,-6.2
656,-4.3
657,-2.2
658,-0.4
659,1.1
660,2.1
661,2.0
662,1.4
663,0.1
664,-0.9
665,-1.5
666,-2.0
667,-2.3
668,-2.0
669,-1.8
670,-2.1
671,-2.2
672,-2.0
673,-1.7
674,-1.6
675,-1.6
676,-1.8
677,-1.9
678,-2.2
679,-2.4
680,-2.1
681,-1.2
682,-0.4
683,-0.2
684,0.2
685,-0.1
686,-0.4
687,-1.2
688,-2.2
689,-3.0
690,-3.5
691,-3.6
692,-4.0
693,-4.5
694,-4.8
695,-5.2
696,-5.5
697,-5.8
698,-6.0
699,-5.8
700,-5.6
701,-5.5
702,-5.3
703,-5.0
704,-4.5
705,-3.1
706,-1.4
707,0.2
708,1.3
709,1.3
710,1.0
711,-0.4
712,-1.2
713,-1.7
714,-2.3
715,-2.8
716,-3.2
717,-3.4
718,-3.6
719,-4.0
720,-4.3
721,-4.7
722,-5.0
723,-5.2
724,-5.6
725,-5.9
726,-6.3
727,-5.4
728,-3.9
729,-2.7
730,-1.4
731,-0.5
732,0.0
733,0.1
734,0.0
735,-1.0
736,-1.7
737,-2.2
738,-2.8
739,-3.1
740,-3.6
741,-4.1
742,-4.7
743,-5.2
744,-5.7
745,-6.2
746,-6.6
747,-6.4
748,-6.1
749,-4.9
750,-3.8
751,-3.2
752,-2.6
753,-2.0
754,-1.3
755,-0.7
756,-0.2
757,-0.3
758,-0.3
759,-0.2
760,-0.8
761,-1.7
762,-2.4
763,-2.7
764,-3.1
765,-3.7
766,-4.1
767,-4.2
768,-3.1
769,-2.2
770,-1.7
771,-1.2
772,-0.8
773,-0.7
774,-0.5
775,0.0
776,0.1
777,0.4
778,0.8
779,1.0
780,0.8
781,-0.1
782,-0.6
783,-0.8
784,-1.0
785,-1.2
786,-1.3
787,-1.4
788,-1.5
789,-1.5
790,-1.5
791,-1.6
792,-1.5
793,-1.4
794,-1.3
795,-1.2
796,-1.1
797,-1.0
798,-1.1
799,-0.5
800,-0.1
801,0.2
802,0.6
803,0.7
804,0.7
805,0.7
806,0.9
807,0.5
808,0.4
809,-0.2
810,-0.2
811,-0.2
812,-0.3
813,-0.4
814,-0.9
815,-1.2
816,-1.6
817,-1.9
818,-2.3
819,-2.6
820,-3.2
821,-3.4
822,-3.3
823,-3.4
824,-3.3
825,-3.1
826,-2.9
827,-2.8
828,-2.9
829,-3.0
830,-3.1
831,-3.3
832,-3.5
833,-3.6
834,-3.5
835,-3.3
836,-3.2
837,-3.3
838,-3.4
839,-3.5
840,-3.7
841,-3.8
842,-3.8
843,-3.8
844,-3.9
845,-4.0
846,-4.0
847,-3.7
848,-3.4
849,-3.2
850,-3.7
851,-4.0
852,-3.9
853,-3.8
854,-3.8
855,-3.8
856,-3.8
857,-4.0
858,-3.8
859,-3.6
860,-3.5
861,-3.4
862,-3.4
863,-3.4
864,-3.4
865,-3.4
866,-3.3
867,-3.2
868,-3.1
869,-3.0
870,-2.9
871,-2.6
872,-2.4
873,-2.3
874,-2.1
875,-1.9
876,-1.9
877,-2.1
878,-2.2
879,-2.4
880,-2.6
881,-2.7
882,-3.0
883,-3.1
884,-3.2
885,-3.5
886,-3.8
887,-4.0
888,-4.3
889,-4.5
890,-4.6
891,-4.9
892,-5.2
893,-5.4
894,-5.8
895,-5.9
896,-6.0
897,-6.1
898,-6.1
899,-6.1
900,-6.2
901,-6.9
